Product Name,Product ID,Quantity
Xtralife,FUR-FU-10002759,1000
3M Organizer Strips,OFF-BI-10003669,38
Newell 322,OFF-AR-10002833,40
Mitel 5320 IP Phone VoIP phone,TEC-PH-10002275,63
DXL Angle-View Binders with Locking Rings by Samsill,OFF-BI-10003910,20
Belkin F5C206VTEL 6 Outlet Surge,OFF-AP-10002892,29
Logitech G502 HERO High Performance Gaming Mouse,TEC-GA-10003893,27
HP 23.8-inch FHD Monitor with Built-in Audio,TEC-MO-10004527,82
"Apple MacBook Air (13-inch, 2021)",TEC-LA-10005678,65
Samsung Galaxy S21 Ultra 5G,TEC-MO-10003215,79
Sony WH-1000XM4 Wireless Noise-Canceling Headphones,TEC-HP-10004211,14
AmazonBasics 6-Sheet Cross-Cut Paper Shredder,OFF-AP-10003784,34
Nintendo Switch Console,TEC-GA-10002917,52
Anker PowerCore 10000 Portable Charger,TEC-AC-10003568,41
Canon EOS Rebel T7 DSLR Camera,TEC-CM-10002591,90
Nike Air Zoom Pegasus 38 Running Shoes,CLS-SH-10004733,12
KitchenAid 5-Speed Hand Mixer,HOM-KI-10003015,58
Dell Inspiron 15 3000 Laptop,TEC-LA-10003472,37
Fitbit Charge 4 Fitness and Activity Tracker,TEC-FI-10003987,58
Philips Hue White and Color Ambiance Smart Bulb Starter Kit,ELE-LI-10002986,39
Sony PlayStation 5 Console,TEC-GA-10004123,65
Bose QuietComfort 35 II Wireless Headphones,TEC-HP-10003719,73
Dell UltraSharp U2720Q 27-inch 4K Monitor,TEC-MO-10004796,33
Apple iPhone 13 Pro Max,TEC-MO-10005312,49
Microsoft Surface Pro 8,TEC-LA-10006002,20
Amazon Echo Dot (4th Gen) Smart Speaker with Alexa,ELE-AU-10003157,44
ASUS ROG Strix G15 Gaming Laptop,TEC-LA-10004095,19
Samsung 55-inch QLED 4K UHD Smart TV,ELE-TV-10002853,97
JBL Flip 5 Waterproof Portable Bluetooth Speaker,TEC-AU-10003284,97
WD Elements 1TB Portable External Hard Drive,TEC-ST-10004827,25
